id,http_code_old,IPA
p_en:7c34e81d-3e47-4909-bd73-f95b2eda358a,000,p_en
p_en:39622c4d-7989-46f1-a1b8-5e59bc9d78dd,000,p_en
r_sicili:a7ab5fed-ad43-4552-b508-a4a453d0a227,200,r_sicili
r_sicili:d3eb4318-2b23-4a27-9303-53dee746d0df,200,r_sicili
r_sicili:bf33315f-7dca-46b4-a8b3-b741c232f9db,200,r_sicili
r_sicili:e56cf5eb-1496-42dd-a064-ff91bc1fe9a0,200,r_sicili
p_en:3ae11899-0f7c-4893-92b8-3ff233e59644,000,p_en
r_sicili:0f0a93ae-f48c-40ca-a2a3-8da1719d372c,200,r_sicili
r_sicili:7598d6a1-0f17-46c1-a403-6438209d5a68,200,r_sicili
r_sicili:825644e2-fee2-48c0-89eb-7a52fe771d80,200,r_sicili
r_sicili:5e930e9e-5dd3-43a1-875a-ce64b34ab495,200,r_sicili
r_sicili:dc148848-1d52-4e0f-bc42-bf8ce1bbb043,200,r_sicili
r_sicili:2bd4a405-2c68-49d0-a0bd-810474d84093,200,r_sicili
p_en:c43898c4-e256-43d7-b8b3-b3c1d3a70088,500,p_en
r_sicili:39e353fe-e215-4221-b6ea-757db7f35671,200,r_sicili
r_sicili:e8deca4d-1df5-48a0-a393-d23852082917,200,r_sicili
p_en:0de662f3-2bea-42ac-9329-979480f7a26b,500,p_en
r_sicili:96d14eb8-bed8-4bc1-93ab-10f2470e515b,200,r_sicili
r_sicili:f397d9e7-1c90-4176-9500-ae1d1ec3b008,200,r_sicili
p_tp:9b1a321d-9394-4bec-864f-a449357cf18e,000,p_tp
p_tp:4987aecb-41d8-4f15-85d0-ea453d644cb2,000,p_tp
r_sicili:8e4fa92b-02d8-4e0d-a171-9d6213faab04,000,r_sicili
p_tp:23e72426-a990-48bc-9d6e-f9fcc61b6543,000,p_tp
p_tp:3a9b3c04-759b-4cac-9692-ef9e5c0997f1,403,p_tp
p_tp:0e2005fc-0c89-4c06-b07c-df0f9b2b52d8,403,p_tp
p_tp:157f017e-009e-4150-ba47-56fec797e54f,403,p_tp
p_tp:e77b9311-3dea-4603-af17-e84bbd61b500,403,p_tp
r_sicili:eb7d584f-6c3f-4575-ad44-5370080992cf,000,r_sicili
p_tp:07598f26-865f-4c4e-8e1e-d6a4d470a99c,403,p_tp
r_sicili:2d32c073-ae0f-45f1-ba81-76624d8acdc6,000,r_sicili
r_sicili:adfc0897-e841-45ee-923d-601c359f96bf,000,r_sicili
r_sicili:111d8886-8d0d-42ce-8efa-717f7e647bd1,200,r_sicili
r_sicili:7a8e9d48-e335-4bb4-92e0-2bb2f7779c30,204,r_sicili
r_sicili:826c621c-f686-4881-8de9-26e3bc96f4fc,200,r_sicili
p_en:a75e9988-ae93-4d23-8d53-798554ff77e9,500,p_en
r_sicili:b400e763-1032-480a-ba5f-4d3f31f0a6f6,000,r_sicili
r_sicili:385b54a3-9784-408e-830f-acb08f0aa527,204,r_sicili
r_sicili:981a882a-5e0a-4d28-9bdf-57bf849ac71a,000,r_sicili
r_sicili:c4eedd1b-c571-472f-bfda-3f7eb3ae3b2c,204,r_sicili
r_sicili:4033758d-d99d-4bec-8704-5968056e2458,200,r_sicili
r_sicili:f26b8e57-06fe-4112-838d-18ec0bf1d85f,404,r_sicili
r_sicili:be9f5269-b9a7-4b6c-a3f2-f5245f0819ad,200,r_sicili
r_sicili:d17043f0-d66d-48f0-8d72-8e8adeb469dd,200,r_sicili
r_sicili:6f616eb8-6987-4f72-867f-1db18266b398,200,r_sicili
